pincode,latitude,longitude,city,state
560071,13.0456,77.6789,Bangalore,Karnataka
560072,12.8567,77.7234,Bangalore,Karnataka
560073,12.8234,77.5234,Bangalore,Karnataka
560074,13.0678,77.5456,Bangalore,Karnataka
560075,12.9134,77.7456,Bangalore,Karnataka
560076,12.8456,77.4912,Bangalore,Karnataka
560077,12.9023,77.4678,Bangalore,Karnataka
560078,13.0123,77.6912,Bangalore,Karnataka
560079,13.0345,77.7012,Bangalore,Karnataka
560080,12.8123,77.6012,Bangalore,Karnataka
560081,12.8912,77.7678,Bangalore,Karnataka
560082,12.9345,77.4456,Bangalore,Karnataka
560083,12.8678,77.4567,Bangalore,Karnataka
560084,13.0567,77.6234,Bangalore,Karnataka
560085,12.7912,77.6534,Bangalore,Karnataka
560086,12.8456,77.5012,Bangalore,Karnataka
560087,12.9789,77.4234,Bangalore,Karnataka
560088,13.0789,77.5912,Bangalore,Karnataka
560089,12.8567,77.4234,Bangalore,Karnataka
560090,13.0912,77.5678,Bangalore,Karnataka
560091,12.8789,77.7912,Bangalore,Karnataka
560092,12.9012,77.4123,Bangalore,Karnataka
560093,13.1012,77.5456,Bangalore,Karnataka
560094,12.8234,77.4789,Bangalore,Karnataka
560095,13.0234,77.4912,Bangalore,Karnataka
560096,12.8012,77.5789,Bangalore,Karnataka
560097,12.7789,77.6789,Bangalore,Karnataka
560098,12.9123,77.7912,Bangalore,Karnataka
560099,12.8567,77.7567,Bangalore,Karnataka
560100,13.0567,77.4789,Bangalore,Karnataka
560102,12.9876,77.7567,Bangalore,Karnataka
560103,12.8345,77.6567,Bangalore,Karnataka
560104,13.0123,77.7234,Bangalore,Karnataka
560105,13.1123,77.5789,Bangalore,Karnataka
560106,12.7567,77.7012,Bangalore,Karnataka
560107,13.0789,77.7012,Bangalore,Karnataka
560108,12.8912,77.5078,Bangalore,Karnataka
560109,12.7456,77.6234,Bangalore,Karnataka
560110,13.1234,77.6012,Bangalore,Karnataka
560111,12.7234,77.5912,Bangalore,Karnataka
560112,13.0012,77.7567,Bangalore,Karnataka
560113,13.0912,77.7234,Bangalore,Karnataka
560114,12.9678,77.7789,Bangalore,Karnataka
560115,13.1345,77.5567,Bangalore,Karnataka
560116,12.9234,77.8012,Bangalore,Karnataka
560117,12.8678,77.8123,Bangalore,Karnataka
