INVOICE_DATE,INVOICE_NUMBER,RETAILER_CODE,HIERARCHY_CATEGORY,HIERARCHY_BRAND,HIERARCHY_REGIONAL_BRAND,PRODUCT_CODE,GROSS_AMOUNT
2025-04-23,IN17747926000341,Out-399710,Captain,Chings Secret,Chings Chinese Sauce,14000000007964,638.950000
2025-05-09,IN14077626002218,Out-211213,Organic India,Organic India,Organic India-Ghee,14000000008297,510.710000
2025-05-17,IN14077626002700,Out-210667,Organic India,Organic India,Organic India-Ghee,14000000008297,510.710000
2025-06-25,IN14077626005502,Out-676906,Organic India,Organic India,Organic India-Ghee,14000000008297,510.710000
2025-05-29,IN14077626003659,Out-211405,Organic India,Organic India,Organic India-Ghee,14000000008297,510.710000
2025-05-29,IN14077626003663,Out-211294,Organic India,Organic India,Organic India-Ghee,14000000008297,510.710000
2025-05-29,IN14077626003657,Out-212598,Organic India,Organic India,Organic India-Ghee,14000000008297,510.710000
2025-05-09,IN14077626002187,Out-218402,Organic India,Organic India,Organic India-Ghee,14000000008297,510.710000
2025-05-29,IN14077626003662,Out-210989,Organic India,Organic India,Organic India-Ghee,14000000008297,510.710000
2025-05-09,IN14077626002191,Out-218397,Organic India,Organic India,Organic India-Ghee,14000000008297,510.710000
2025-05-29,IN14077626003661,Out-212658,Organic India,Organic India,Organic India-Ghee,14000000008297,510.710000
2025-05-29,IN14077626003658,Out-211805,Organic India,Organic India,Organic India-Ghee,14000000008297,510.710000
2025-05-29,IN14077626003660,Out-212681,Organic India,Organic India,Organic India-Ghee,14000000008297,510.710000
2025-06-25,IN17747926A00112,Out-400351,Captain,Smith & Jones,SnJ Cooking Paste,14000000014438,540.660000
2025-05-27,IN14878726000963,Out-213112,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001099,Out-738520,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001031,Out-213122,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001103,Out-732813,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001101,Out-735980,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001015,Out-213464,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000940,Out-213482,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001066,Out-732732,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001027,Out-213212,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001060,Out-732926,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001072,Out-732737,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000939,Out-213090,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001083,Out-735760,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-29,IN14878726001114,Out-213436,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,53919.360000
2025-05-27,IN14878726000989,Out-213309,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000918,Out-213179,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001053,Out-732944,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001091,Out-734268,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000927,Out-213233,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000954,Out-213526,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001071,Out-736734,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000996,Out-213327,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000980,Out-213351,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000950,Out-213100,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000982,Out-213315,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001107,Out-737408,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000973,Out-213414,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001064,Out-735885,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000971,Out-213296,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001056,Out-732734,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000920,Out-213357,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001024,Out-213164,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000935,Out-213228,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000993,Out-213433,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001019,Out-213505,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001048,Out-213194,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000952,Out-213091,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000997,Out-213193,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001087,Out-732729,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000956,Out-213428,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000995,Out-213343,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001002,Out-213470,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001050,Out-213378,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-22,IN14878726000914,Out-640851,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,14065.920000
2025-05-27,IN14878726000964,Out-213462,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000926,Out-213389,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001018,Out-213410,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000974,Out-213245,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000947,Out-213306,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-14,IN14878726000864,Out-213177,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,140659.200000
2025-05-28,IN14878726001097,Out-732911,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000955,Out-213476,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001070,Out-732750,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001102,Out-732760,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000916,Out-213141,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000941,Out-213481,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001069,Out-732897,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001061,Out-735508,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001081,Out-734887,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000968,Out-213281,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000933,Out-218442,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000959,Out-213404,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001067,Out-736484,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001074,Out-734319,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001096,Out-734359,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000999,Out-213217,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001077,Out-736510,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000962,Out-213469,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001028,Out-213320,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000930,Out-213474,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000985,Out-213278,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000984,Out-218425,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000978,Out-213286,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000934,Out-213297,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000965,Out-213270,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-14,IN14878726000865,Out-213484,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,140659.200000
2025-05-28,IN14878726001088,Out-732887,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000958,Out-213319,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001062,Out-734872,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001073,Out-732924,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001037,Out-213512,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001049,Out-213419,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000994,Out-213161,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000922,Out-213475,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001022,Out-213128,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001005,Out-213458,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001025,Out-213417,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001055,Out-732738,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000990,Out-213231,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001089,Out-735478,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000988,Out-213397,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000977,Out-213262,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001075,Out-738524,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001001,Out-213516,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001095,Out-732785,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000970,Out-213111,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001034,Out-213312,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001042,Out-213514,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001085,Out-732809,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001105,Out-732741,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001086,Out-732828,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001032,Out-213135,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001021,Out-213237,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001079,Out-735031,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000945,Out-213531,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001016,Out-213316,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001104,Out-732746,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001059,Out-732767,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-22,IN14878726000910,Out-213502,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,132063.360000
2025-05-27,IN14878726000960,Out-213201,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001040,Out-213085,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001010,Out-213439,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000943,Out-213239,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001068,Out-735756,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001013,Out-213356,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000921,Out-213334,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000986,Out-213519,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000987,Out-213087,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000923,Out-213229,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000966,Out-213250,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001029,Out-213500,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000976,Out-213133,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000946,Out-213412,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000991,Out-213107,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001054,Out-737404,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000932,Out-218408,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001036,Out-213401,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001098,Out-732794,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001094,Out-732731,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001065,Out-732814,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-22,IN14878726000912,Out-213484,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,140659.200000
2025-05-28,IN14878726001078,Out-736583,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-18,IN14878726000904,Out-213108,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,105494.400000
2025-05-27,IN14878726000951,Out-213328,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001000,Out-213118,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000969,Out-213494,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000919,Out-213492,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001080,Out-732807,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001076,Out-736107,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001090,Out-734262,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000972,Out-213463,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000948,Out-213158,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001007,Out-213168,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001043,Out-213363,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001006,Out-213490,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001082,Out-732850,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001051,Out-732773,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000957,Out-213230,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001020,Out-213400,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000917,Out-213185,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001009,Out-213214,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001008,Out-213495,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001030,Out-213122,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001052,Out-734259,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000967,Out-213149,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001041,Out-213384,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000944,Out-213499,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001033,Out-213468,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001023,Out-213472,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000981,Out-213183,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001003,Out-213432,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000937,Out-213166,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001017,Out-213452,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-18,IN14878726000902,Out-213502,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,105494.400000
2025-05-27,IN14878726000992,Out-213369,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001004,Out-213411,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000949,Out-213104,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001038,Out-213527,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001057,Out-732903,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001092,Out-732774,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000931,Out-213367,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-22,IN14878726000913,Out-213177,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,175824.000000
2025-05-28,IN14878726001084,Out-732809,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000983,Out-218424,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000925,Out-213157,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000929,Out-213445,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001100,Out-732943,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001039,Out-213226,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000998,Out-213511,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001047,Out-213098,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-18,IN14878726000901,Out-213484,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,105494.400000
2025-05-22,IN14878726000915,Out-213436,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,7032.960000
2025-05-28,IN14878726001106,Out-732733,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000975,Out-218419,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001093,Out-732815,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-18,IN14878726000903,Out-213177,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,105494.400000
2025-05-22,IN14878726000911,Out-213108,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,140659.200000
2025-05-27,IN14878726000942,Out-213088,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001014,Out-213302,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000961,Out-218421,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001035,Out-218400,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000924,Out-213271,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001026,Out-213236,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001058,Out-732730,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000938,Out-213099,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001063,Out-735940,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001011,Out-213192,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-28,IN14878726001108,Out-732820,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000979,Out-213191,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000953,Out-213368,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726001012,Out-213258,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000928,Out-213139,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-27,IN14878726000936,Out-213333,Packaged Beverages,Tata Tea,Chakra Gold,14000000008126,390.720000
2025-05-26,IN15890326002700,Out-379182,Captain,Chings Secret,Chings Chinese Sauce,14000000007965,196.600000
2025-04-12,IN15890326000520,Out-378943,Captain,Chings Secret,Chings Chinese Sauce,14000000007965,49.150000
2025-04-05,IN15890326000211,Out-379328,Captain,Chings Secret,Chings Chinese Sauce,14000000007965,49.150000
2025-05-27,IN15890326002750,Out-379265,Captain,Chings Secret,Chings Chinese Sauce,14000000007965,49.150000
2025-05-26,IN15890326002699,Out-378898,Captain,Chings Secret,Chings Chinese Sauce,14000000007965,196.600000
2025-05-27,IN15890326002744,Out-379362,Captain,Chings Secret,Chings Chinese Sauce,14000000007965,49.150000
2025-05-09,IN14077626002197,Out-210705,Organic India,Organic India,Organic India-Healthy Food,14000000008295,449.520000
2025-05-18,IN14077626002739,Out-212452,Organic India,Organic India,Organic India-Healthy Food,14000000008295,2247.600000
2025-05-06,IN14077626001931,Out-211392,Captain,Chings Secret,Chings Noodles,14000000007949,65.520000
2025-05-10,IN14077626002330,Out-210600,Captain,Chings Secret,Chings Noodles,14000000007949,131.040000
2025-04-18,IN14077626000957,Out-212832,Captain,Chings Secret,Chings Noodles,14000000007949,49.140000
2025-05-10,IN14077626002328,Out-248034,Captain,Chings Secret,Chings Noodles,14000000007949,131.040000
2025-05-10,IN14077626002324,Out-211466,Captain,Chings Secret,Chings Noodles,14000000007949,131.040000
2025-04-04,IN14077626000091,Out-211563,Captain,Chings Secret,Chings Noodles,14000000007949,98.280000
2025-05-10,IN14077626002331,Out-212245,Captain,Chings Secret,Chings Noodles,14000000007949,81.900000
2025-05-06,IN14077626001929,Out-211392,Captain,Chings Secret,Chings Noodles,14000000007949,98.280000
2025-04-15,IN14077626000759,Out-212245,Captain,Chings Secret,Chings Noodles,14000000007949,81.900000
2025-05-10,IN14077626002319,Out-218402,Captain,Chings Secret,Chings Noodles,14000000007949,131.040000
2025-05-10,IN14077626002323,Out-218445,Captain,Chings Secret,Chings Noodles,14000000007949,131.040000
2025-04-18,IN14077626000845,Out-211563,Captain,Chings Secret,Chings Noodles,14000000007949,81.900000
2025-05-10,IN14077626002321,Out-211092,Captain,Chings Secret,Chings Noodles,14000000007949,131.040000
2025-04-29,IN14077626001605,Out-211392,Captain,Chings Secret,Chings Noodles,14000000007949,98.280000
2025-05-10,IN14077626002325,Out-211931,Captain,Chings Secret,Chings Noodles,14000000007949,131.040000
2025-05-10,IN14077626002318,Out-218397,Captain,Chings Secret,Chings Noodles,14000000007949,131.040000
2025-04-14,IN14077626000639,Out-218402,Packaged Beverages,Tata Coffee,TC Grand Instant,14000000007471,475.240000
2025-05-09,IN14077626002129,Out-212090,Packaged Beverages,Tata Coffee,TC Grand Instant,14000000007471,237.620000
2025-04-24,IN14077626001418,Out-218403,Packaged Beverages,Tata Coffee,TC Grand Instant,14000000007471,237.620000
2025-05-08,IN14077626002106,Out-218403,Packaged Beverages,Tata Coffee,TC Grand Instant,14000000007471,475.240000
2025-05-29,IN14077626003479,Out-441078,Packaged Beverages,Tata Coffee,TC Grand Instant,14000000007471,356.430000
2025-05-08,IN14077626A00054,Out-210881,Packaged Beverages,Tata Coffee,TC Grand Instant,14000000007471,237.620000
2025-05-22,IN14077626002896,Out-210881,Packaged Beverages,Tata Coffee,TC Grand Instant,14000000007471,237.620000
2025-04-05,IN14077626000246,Out-211874,Packaged Beverages,Tata Coffee,TC Grand Instant,14000000007471,475.240000
2025-05-05,IN14077626001727,Out-4524029,Packaged Beverages,Tata Coffee,TC Grand Instant,14000000007471,237.620000
